Month,#Passengers
2023-01-01,1335877
2023-01-02,3640967
2023-01-03,4106050
2023-01-04,4206309
2023-01-05,4034348
2023-01-06,1820114
2023-01-07,2659472
2023-01-08,1958568
2023-01-09,4828013
2023-01-10,5018291
2023-01-11,4957262
2023-01-12,4999719
2023-01-13,5115119
2023-01-14,3022592
2023-01-15,2103824
2023-01-16,4776142
2023-01-17,4895577
2023-01-18,4981458
2023-01-19,5028121
2023-01-20,5178926
2023-01-21,3268049
2023-01-22,2238184
2023-01-23,4890055
2023-01-24,5015750
2023-01-25,5111934
2023-01-26,5182665
2023-01-27,5049892
2023-01-28,3052591
2023-01-29,2245335
2023-01-30,4970743
2023-01-31,5159406
2023-02-01,5305779
2023-02-02,5340342
2023-02-03,5357468
2023-02-04,3212406
2023-02-05,2336877
2023-02-06,5102740
2023-02-07,5250734
2023-02-08,5307952
2023-02-09,5341064
2023-02-10,5405698
2023-02-11,3176796
2023-02-12,2474359
2023-02-13,5133527
2023-02-14,5434377
2023-02-15,5370538
2023-02-16,5390683
2023-02-17,5384496
2023-02-18,3159496
2023-02-19,2365325
2023-02-20,5134615
2023-02-21,5319791
2023-02-22,5393726
2023-02-23,5435589
2023-02-24,4909052
2023-02-25,3142363
2023-02-26,2420475
2023-02-27,4565073
2023-02-28,5295630
2023-03-01,5361668
2023-03-02,5410167
2023-03-03,5459275
2023-03-04,3290519
2023-03-05,2217127
2023-03-06,5150427
2023-03-07,5366526
2023-03-08,5394244
2023-03-09,5338224
2023-03-10,5500786
2023-03-11,3329703
2023-03-12,2469849
2023-03-13,5199503
2023-03-14,5406768
2023-03-15,5514908
2023-03-16,5443137
2023-03-17,5400669
2023-03-18,3171015
2023-03-19,2413723
2023-03-20,2322947
2023-03-21,5341598
2023-03-22,5483705
2023-03-23,5493526
2023-03-24,5557775
2023-03-25,3344461
2023-03-26,2442065
2023-03-27,5242896
2023-03-28,5451724
2023-03-29,5513383
2023-03-30,5570367
2023-03-31,4843728
2023-04-01,3018662
2023-04-02,2450317
2023-04-03,4029293
2023-04-04,4044599
2023-04-05,3870502
2023-04-06,2322414
2023-04-07,2260312
2023-04-08,2496130
2023-04-09,2146904
2023-04-10,4149487
2023-04-11,5394085
2023-04-12,5591438
2023-04-13,5528303
2023-04-14,5582147
2023-04-15,3348412
2023-04-16,2495226
2023-04-17,5305027
2023-04-18,5506945
2023-04-19,5579915
2023-04-20,5578891
2023-04-21,5566323
2023-04-22,3311877
2023-04-23,2579474
2023-04-24,5283655
2023-04-25,5537901
2023-04-26,5631431
2023-04-27,5563430
2023-04-28,5387163
2023-04-29,3067163
2023-04-30,2563088
2023-05-01,2321309
2023-05-02,2363437
2023-05-03,5412456
2023-05-04,5522892
2023-05-05,5575797
2023-05-06,3278392
2023-05-07,2474150
2023-05-08,5238788
2023-05-09,5539133
2023-05-10,5550478
2023-05-11,5531796
2023-05-12,5480393
2023-05-13,3276038
2023-05-14,2594646
2023-05-15,2909866
2023-05-16,5278243
2023-05-17,5437104
2023-05-18,5391759
2023-05-19,5433458
2023-05-20,3184846
2023-05-21,2308001
2023-05-22,5101408
2023-05-23,5227339
2023-05-24,5376242
2023-05-25,5344872
2023-05-26,5247472
2023-05-27,3183331
2023-05-28,2308857
2023-05-29,4955466
2023-05-30,5200112
2023-05-31,5400443
2023-06-01,5217042
2023-06-02,5347518
2023-06-03,3398939
2023-06-04,2553867
2023-06-05,5058923
2023-06-06,5325601
2023-06-07,5226104
2023-06-08,5300333
2023-06-09,5390781
2023-06-10,3368857
2023-06-11,2552470
2023-06-12,5021896
2023-06-13,5185956
2023-06-14,5290849
2023-06-15,5311104
2023-06-16,5229316
2023-06-17,3221907
2023-06-18,2383915
2023-06-19,4916544
2023-06-20,5159474
2023-06-21,5190859
2023-06-22,5274116
2023-06-23,4936245
2023-06-24,3162772
2023-06-25,2437629
2023-06-26,4915097
2023-06-27,4863000
2023-06-28,5119481
2023-06-29,5112179
2023-06-30,5067164
2023-07-01,3313893
2023-07-02,2473965
2023-07-03,4665309
2023-07-04,4793470
2023-07-05,4820001
2023-07-06,4807939
2023-07-07,4637999
2023-07-08,2955166
2023-07-09,2297569
2023-07-10,4412091
2023-07-11,4525358
2023-07-12,4594879
2023-07-13,4568893
2023-07-14,4455413
2023-07-15,2875771
2023-07-16,2227926
2023-07-17,4181337
2023-07-18,4308139
2023-07-19,4316018
2023-07-20,4321338
2023-07-21,4207098
2023-07-22,2727237
2023-07-23,2232031
2023-07-24,4051799
2023-07-25,4168037
2023-07-26,4200949
2023-07-27,4106989
2023-07-28,3975585
2023-07-29,2569958
2023-07-30,2042573
2023-07-31,3667083
2023-08-01,3584225
2023-08-02,3559773
2023-08-03,3526180
2023-08-04,3466205
2023-08-05,2359563
2023-08-06,1895261
2023-08-07,3229462
2023-08-08,3282495
2023-08-09,3208685
2023-08-10,3222637
2023-08-11,3175007
2023-08-12,2161456
2023-08-13,1797221
2023-08-14,2881014
2023-08-15,1940849
2023-08-16,3130536
2023-08-17,3110331
2023-08-18,3100387
2023-08-19,2148464
2023-08-20,1764793
2023-08-21,3112895
2023-08-22,3174973
2023-08-23,3225206
2023-08-24,3222984
2023-08-25,3250182
2023-08-26,2281598
2023-08-27,1950481
2023-08-28,3487958
2023-08-29,3667363
2023-08-30,3812848
2023-08-31,3876086
2023-09-01,4100490
2023-09-02,2678638
2023-09-03,1653500
2023-09-04,4243946
2023-09-05,4828585
2023-09-06,5021671
2023-09-07,5131137
2023-09-08,5145402
2023-09-09,3073884
2023-09-10,2460762
2023-09-11,5221762
2023-09-12,5400108
2023-09-13,5551914
2023-09-14,5475752
2023-09-15,5408745
2023-09-16,3197083
2023-09-17,2325067
2023-09-18,5467033
2023-09-19,5664296
2023-09-20,5772291
2023-09-21,5732817
2023-09-22,5858083
2023-09-23,3507855
2023-09-24,2772016
2023-09-25,5535697
2023-09-26,5722075
2023-09-27,5809099
2023-09-28,5767492
2023-09-29,5858760
2023-09-30,3560079
2023-10-01,2658125
2023-10-02,5698315
2023-10-03,5891576
2023-10-04,6019207
2023-10-05,5995946
2023-10-06,5999898
2023-10-07,3699670
2023-10-08,2717423
2023-10-09,5655090
2023-10-10,5930427
2023-10-11,6127192
2023-10-12,3239519
2023-10-13,4646177
2023-10-14,3238852
2023-10-15,2410287
2023-10-16,5494574
2023-10-17,5721731
2023-10-18,5785740
2023-10-19,5205811
2023-10-20,5778523
2023-10-21,3376559
2023-10-22,2441969
2023-10-23,5557386
2023-10-24,5789035
2023-10-25,5846365
2023-10-26,5648844
2023-10-27,5940158
2023-10-28,3542647
2023-10-29,2526451
2023-10-30,5628447
2023-10-31,6210736
2023-11-01,2532026
2023-11-02,5453389
2023-11-03,5744305
2023-11-04,3188790
2023-11-05,2568198
2023-11-06,5675119
2023-11-07,5893756
2023-11-08,6036833
2023-11-09,3331506
2023-11-10,5464491
2023-11-11,3390237
2023-11-12,2681174
2023-11-13,5585766
2023-11-14,5791322
2023-11-15,5870596
2023-11-16,5779079
2023-11-17,5942082
2023-11-18,3674096
2023-11-19,2602377
2023-11-20,5637732
2023-11-21,5832931
2023-11-22,5878011
2023-11-23,5983073
2023-11-24,6069607
2023-11-25,3859054
2023-11-26,2744519
2023-11-27,5698321
2023-11-28,5837899
2023-11-29,5900372
2023-11-30,5722730
2023-12-01,6049737
2023-12-02,3874889
2023-12-03,2681515
2023-12-04,5584933
2023-12-05,5894947
2023-12-06,3084352
2023-12-07,4141222
2023-12-08,3233412
2023-12-09,3313199
2023-12-10,2376234
2023-12-11,5636613
2023-12-12,5795860
2023-12-13,5949033
2023-12-14,5944758
2023-12-15,6080572
2023-12-16,3872899
2023-12-17,2842513
2023-12-18,5689062
2023-12-19,5838022
2023-12-20,5805562
2023-12-21,5813698
2023-12-22,5422805
2023-12-23,3331420
2023-12-24,1854831
2023-12-25,1405527
2023-12-26,4175181
2023-12-27,4415135
2023-12-28,4389389
2023-12-29,4308999
2023-12-30,3153684
2023-12-31,2020500
2024-01-01,1439678
2024-01-02,4023546
2024-01-03,4297411
2024-01-04,4309624
2024-01-05,4314224
2024-01-06,2054404
2024-01-07,2374972
2024-01-08,5162363
2024-01-09,5345674
2024-01-10,5319533
2024-01-11,5374298
2024-01-12,5496298
2024-01-13,3276619
2024-01-14,2234776
2024-01-15,5200917
2024-01-16,5412445
2024-01-17,5424753
2024-01-18,5566104
2024-01-19,5312257
2024-01-20,3478691
2024-01-21,2542907
2024-01-22,5407076
2024-01-23,5609244
2024-01-24,5700026
2024-01-25,5775093
2024-01-26,5696752
2024-01-27,3579402
2024-01-28,2706629
2024-01-29,5430343
2024-01-30,5759850
2024-01-31,5838932
2024-02-01,5823653
2024-02-02,5904732
2024-02-03,3590514
2024-02-04,2717808
2024-02-05,5639164
2024-02-06,5851603
2024-02-07,5916553
2024-02-08,5798433
2024-02-09,5599698
2024-02-10,3555281
2024-02-11,2482223
2024-02-12,5650245
2024-02-13,5785519
2024-02-14,6036273
2024-02-15,5747337
2024-02-16,5908129
2024-02-17,3538693
2024-02-18,2637032
2024-02-19,5649148
2024-02-20,5863762
2024-02-21,5969612
2024-02-22,5366637
2024-02-23,5171602
2024-02-24,3360066
2024-02-25,2466133
2024-02-26,5521436
2024-02-27,5843775
2024-02-28,5895913
2024-02-29,5932818
2024-03-01,5993505
2024-03-02,3144325
2024-03-03,2588779
2024-03-04,5627070
2024-03-05,5902923
2024-03-06,6011644
2024-03-07,5813370
2024-03-08,5822550
2024-03-09,3406954
2024-03-10,2552110
2024-03-11,5627660
2024-03-12,5864230
2024-03-13,5958845
2024-03-14,5889826
2024-03-15,5934944
2024-03-16,3632877
2024-03-17,2696495
2024-03-18,5570277
2024-03-19,5800790
2024-03-20,5867110
2024-03-21,5935385
2024-03-22,5187694
2024-03-23,3356796
2024-03-24,2586121
2024-03-25,4147453
2024-03-26,4291114
2024-03-27,3968174
2024-03-28,2365352
2024-03-29,2166553
2024-03-30,2529545
2024-03-31,2094198
2024-04-01,4356381
2024-04-02,5701451
2024-04-03,5917503
2024-04-04,5906640
2024-04-05,5983658
2024-04-06,3641279
2024-04-07,2658377
2024-04-08,5699519
2024-04-09,5987275
2024-04-10,6016311
2024-04-11,5975837
2024-04-12,6040882
2024-04-13,3724704
2024-04-14,2740410
2024-04-15,5692859
2024-04-16,5910337
2024-04-17,5966832
2024-04-18,5964312
2024-04-19,5991888
2024-04-20,3639692
2024-04-21,2782266
2024-04-22,5714345
2024-04-23,5934154
2024-04-24,5959358
2024-04-25,5914858
2024-04-26,5961293
2024-04-27,3444240
2024-04-28,2740360
2024-04-29,5511611
2024-04-30,5900177
2024-05-01,2512364
2024-05-02,2801874
2024-05-03,4231937
2024-05-04,3203678
2024-05-05,2407763
2024-05-06,5554103
2024-05-07,5849386
2024-05-08,5981253
2024-05-09,5855968
2024-05-10,5996259
2024-05-11,3660560
2024-05-12,2807381
2024-05-13,5572383
2024-05-14,6038575
2024-05-15,3466130
2024-05-16,5697904
2024-05-17,5720838
2024-05-18,3503577
2024-05-19,2608156
2024-05-20,5475099
2024-05-21,5620123
2024-05-22,5741655
2024-05-23,5731424
2024-05-24,5834536
2024-05-25,3531201
2024-05-26,2610060
2024-05-27,5466729
2024-05-28,5674282
2024-05-29,5814404
2024-05-30,5817181
2024-05-31,5833932
2024-06-01,3682602
2024-06-02,2807351
2024-06-03,5433561
2024-06-04,5657521
2024-06-05,5714257
2024-06-06,5725878
2024-06-07,5662131
2024-06-08,3327399
2024-06-09,2659953
2024-06-10,5176968
2024-06-11,5632558
2024-06-12,5649220
2024-06-13,5666750
2024-06-14,5652623
2024-06-15,3468289
2024-06-16,2706294
2024-06-17,5360869
2024-06-18,5492705
2024-06-19,5581061
2024-06-20,5417339
2024-06-21,5486761
2024-06-22,3317638
2024-06-23,2587482
2024-06-24,5038177
2024-06-25,5222897
2024-06-26,5208110
2024-06-27,5250236
2024-06-28,5081099
2024-06-29,3267078
2024-06-30,2547595
2024-07-01,4852061
2024-07-02,5015718
2024-07-03,5100441
2024-07-04,5008647
2024-07-05,4744363
2024-07-06,3191835
2024-07-07,2475801
2024-07-08,4623343
2024-07-09,4765013
2024-07-10,4814164
2024-07-11,4764466
2024-07-12,4687909
2024-07-13,3023554
2024-07-14,2499852
2024-07-15,4497127
2024-07-16,4637501
2024-07-17,4552668
2024-07-18,4411397
2024-07-19,4272834
2024-07-20,2802156
2024-07-21,2309169
2024-07-22,4313873
2024-07-23,4376030
2024-07-24,4267856
2024-07-25,2412919
2024-07-26,3706628
2024-07-27,2586022
2024-07-28,2091280
2024-07-29,3942800
2024-07-30,4085972
2024-07-31,4085003
2024-08-01,3783069
2024-08-02,3670509
2024-08-03,2469022
2024-08-04,1977598
2024-08-05,3435025
2024-08-06,3477704
2024-08-07,3487247
2024-08-08,3392540
2024-08-09,3336958
2024-08-10,2318693
2024-08-11,1891923
2024-08-12,3235110
2024-08-13,3300445
2024-08-14,3344005
2024-08-15,2144928
2024-08-16,2978090
2024-08-17,2300061
2024-08-18,1872018
2024-08-19,3187993
2024-08-20,3291222
2024-08-21,3347228
2024-08-22,3289112
2024-08-23,3291611
2024-08-24,2330015
2024-08-25,2031645
2024-08-26,3458729
2024-08-27,3616558
2024-08-28,3728242
2024-08-29,3619870
