Fecha,medio,Valor
01/01/2023,Metro de Madrid,685684
01/01/2023,EMT,319488
01/01/2023,Conc. por carretera,155714
01/01/2023,Renfe Cercanías,174991
02/01/2023,Metro de Madrid,1581661
02/01/2023,EMT,1024836
02/01/2023,Conc. por carretera,588003
02/01/2023,Renfe Cercanías,446467
03/01/2023,Metro de Madrid,1781186
03/01/2023,EMT,1151845
03/01/2023,Conc. por carretera,662751
03/01/2023,Renfe Cercanías,510268
04/01/2023,Metro de Madrid,1846531
04/01/2023,EMT,1160892
04/01/2023,Conc. por carretera,681347
04/01/2023,Renfe Cercanías,517539
05/01/2023,Metro de Madrid,1842966
05/01/2023,EMT,1087828
05/01/2023,Conc. por carretera,615698
05/01/2023,Renfe Cercanías,487856
06/01/2023,Metro de Madrid,894382
06/01/2023,EMT,459749
06/01/2023,Conc. por carretera,236253
06/01/2023,Renfe Cercanías,229730
07/01/2023,Metro de Madrid,1257660
07/01/2023,EMT,714550
07/01/2023,Conc. por carretera,377933
07/01/2023,Renfe Cercanías,309329
08/01/2023,Metro de Madrid,977910
08/01/2023,EMT,491083
08/01/2023,Conc. por carretera,254102
08/01/2023,Renfe Cercanías,235473
09/01/2023,Metro de Madrid,1941128
09/01/2023,EMT,1468624
09/01/2023,Conc. por carretera,856672
09/01/2023,Renfe Cercanías,561589
10/01/2023,Metro de Madrid,2018250
10/01/2023,EMT,1531306
10/01/2023,Conc. por carretera,884948
10/01/2023,Renfe Cercanías,583787
11/01/2023,Metro de Madrid,2062881
11/01/2023,EMT,1422008
11/01/2023,Conc. por carretera,880756
11/01/2023,Renfe Cercanías,591617
12/01/2023,Metro de Madrid,2080654
12/01/2023,EMT,1435879
12/01/2023,Conc. por carretera,890470
12/01/2023,Renfe Cercanías,592716
13/01/2023,Metro de Madrid,2162687
13/01/2023,EMT,1439282
13/01/2023,Conc. por carretera,912863
13/01/2023,Renfe Cercanías,600287
14/01/2023,Metro de Madrid,1428270
14/01/2023,EMT,802425
14/01/2023,Conc. por carretera,433733
14/01/2023,Renfe Cercanías,358164
15/01/2023,Metro de Madrid,1021255
15/01/2023,EMT,539787
15/01/2023,Conc. por carretera,274959
15/01/2023,Renfe Cercanías,267823
16/01/2023,Metro de Madrid,1992037
16/01/2023,EMT,1357710
16/01/2023,Conc. por carretera,856534
16/01/2023,Renfe Cercanías,569861
17/01/2023,Metro de Madrid,2064856
17/01/2023,EMT,1391475
17/01/2023,Conc. por carretera,865470
17/01/2023,Renfe Cercanías,573776
18/01/2023,Metro de Madrid,2120175
18/01/2023,EMT,1399464
18/01/2023,Conc. por carretera,873932
18/01/2023,Renfe Cercanías,587887
19/01/2023,Metro de Madrid,2155218
19/01/2023,EMT,1407320
19/01/2023,Conc. por carretera,880344
19/01/2023,Renfe Cercanías,585239
20/01/2023,Metro de Madrid,2226792
20/01/2023,EMT,1433422
20/01/2023,Conc. por carretera,910895
20/01/2023,Renfe Cercanías,607817
21/01/2023,Metro de Madrid,1616122
21/01/2023,EMT,810600
21/01/2023,Conc. por carretera,448679
21/01/2023,Renfe Cercanías,392648
22/01/2023,Metro de Madrid,1115808
22/01/2023,EMT,548425
22/01/2023,Conc. por carretera,293035
22/01/2023,Renfe Cercanías,280916
23/01/2023,Metro de Madrid,2042669
23/01/2023,EMT,1389039
23/01/2023,Conc. por carretera,879160
23/01/2023,Renfe Cercanías,579187
24/01/2023,Metro de Madrid,2123716
24/01/2023,EMT,1407708
24/01/2023,Conc. por carretera,889417
24/01/2023,Renfe Cercanías,594909
25/01/2023,Metro de Madrid,2152328
25/01/2023,EMT,1443805
25/01/2023,Conc. por carretera,908456
25/01/2023,Renfe Cercanías,607345
26/01/2023,Metro de Madrid,2214718
26/01/2023,EMT,1444279
26/01/2023,Conc. por carretera,916545
26/01/2023,Renfe Cercanías,607123
27/01/2023,Metro de Madrid,2180472
27/01/2023,EMT,1388149
27/01/2023,Conc. por carretera,895680
27/01/2023,Renfe Cercanías,585591
28/01/2023,Metro de Madrid,1477965
28/01/2023,EMT,774980
28/01/2023,Conc. por carretera,437205
28/01/2023,Renfe Cercanías,362441
29/01/2023,Metro de Madrid,1124644
29/01/2023,EMT,546525
29/01/2023,Conc. por carretera,290671
29/01/2023,Renfe Cercanías,283495
30/01/2023,Metro de Madrid,2069172
30/01/2023,EMT,1399150
30/01/2023,Conc. por carretera,899509
30/01/2023,Renfe Cercanías,602912
31/01/2023,Metro de Madrid,2154530
31/01/2023,EMT,1453028
31/01/2023,Conc. por carretera,928286
31/01/2023,Renfe Cercanías,623562
01/02/2023,Metro de Madrid,2227992
01/02/2023,EMT,1486916
01/02/2023,Conc. por carretera,946360
01/02/2023,Renfe Cercanías,644511
02/02/2023,Metro de Madrid,2252162
02/02/2023,EMT,1496917
02/02/2023,Conc. por carretera,950210
02/02/2023,Renfe Cercanías,641053
03/02/2023,Metro de Madrid,2288146
03/02/2023,EMT,1476746
03/02/2023,Conc. por carretera,960282
03/02/2023,Renfe Cercanías,632294
04/02/2023,Metro de Madrid,1542933
04/02/2023,EMT,828362
04/02/2023,Conc. por carretera,466098
04/02/2023,Renfe Cercanías,375013
05/02/2023,Metro de Madrid,1143835
05/02/2023,EMT,583510
05/02/2023,Conc. por carretera,316581
05/02/2023,Renfe Cercanías,292951
06/02/2023,Metro de Madrid,2124266
06/02/2023,EMT,1446101
06/02/2023,Conc. por carretera,928649
06/02/2023,Renfe Cercanías,603724
07/02/2023,Metro de Madrid,2210349
07/02/2023,EMT,1475971
07/02/2023,Conc. por carretera,949333
07/02/2023,Renfe Cercanías,615081
08/02/2023,Metro de Madrid,2241168
08/02/2023,EMT,1494264
08/02/2023,Conc. por carretera,957604
08/02/2023,Renfe Cercanías,614916
09/02/2023,Metro de Madrid,2247684
09/02/2023,EMT,1512276
09/02/2023,Conc. por carretera,967393
09/02/2023,Renfe Cercanías,613711
10/02/2023,Metro de Madrid,2319375
10/02/2023,EMT,1495020
10/02/2023,Conc. por carretera,979269
10/02/2023,Renfe Cercanías,612034
11/02/2023,Metro de Madrid,1534496
11/02/2023,EMT,815486
11/02/2023,Conc. por carretera,463042
11/02/2023,Renfe Cercanías,363772
12/02/2023,Metro de Madrid,1239238
12/02/2023,EMT,585819
12/02/2023,Conc. por carretera,321243
12/02/2023,Renfe Cercanías,328059
13/02/2023,Metro de Madrid,2124337
13/02/2023,EMT,1478410
13/02/2023,Conc. por carretera,942825
13/02/2023,Renfe Cercanías,587955
14/02/2023,Metro de Madrid,2285902
14/02/2023,EMT,1541137
14/02/2023,Conc. por carretera,982939
14/02/2023,Renfe Cercanías,624399
15/02/2023,Metro de Madrid,2263581
15/02/2023,EMT,1514991
15/02/2023,Conc. por carretera,972423
15/02/2023,Renfe Cercanías,619543
16/02/2023,Metro de Madrid,2270821
16/02/2023,EMT,1537326
16/02/2023,Conc. por carretera,979906
